*	542			
กงสี	noun	1	(1) common property; property for common use; property shared amongst a group of persons. (2) (especially one managed by members of the same family) business, enterprise; company, corporation.	From Teochew 公司 (gong1 si1, “company; corporation”).
กบในกะลา	noun	1	(idiomatic) an ignorant or unknowledgeable person, one of very limited outlook (narrow-minded) and experience	กบ (gòp) + ใน (nai) + กะลา (gà-laa). Literally: a frog in a coconut shell. Compare Malay katak di bawah tempurung, Chinese 井底之蛙.
กบในกะลาครอบ	noun	1	(idiomatic) An ignorant or unknowledgeable person, one of very limited outlook and experience.	กบ (gòp) + ใน (nai) + กะลา (gà-laa) + ครอบ (krɔ̂ɔp). Literally: a frog in a covering coconut shell. Compare Malay katak di bawah tempurung, Chinese 井底之蛙.
กระทง	adj	1	(1) (of a fowl) aged around three months. (2) (of a rooster) that has just learnt how to crow.	From Old Chinese 鐙 (OC *tɯːŋ, *tɯːŋs, “ritual vessel or lamp”).<br>Notes for Old Chinese notations in the Baxter–Sagart system: /*k-tˤəŋ/
กระทง	noun	1	(1) container made in various forms of banana leaves or other leaves. (2) (of a text, passage, etc) division; part; section. (3) (law) count: distinct charge or cause of action. (4) (nautical) stretcher. (5) (botany) the plant Celastrus paniculatus Willd. of the family Celastraceae.	From Old Chinese 鐙 (OC *tɯːŋ, *tɯːŋs, “ritual vessel or lamp”).<br>Notes for Old Chinese notations in the Baxter–Sagart system: /*k-tˤəŋ/
กระบวย	noun	1	dipper; ladle; scoop.	Cognate with Lao ບວຍ (buāi) or ກະບວຍ (ka buāi), Lü ᦢᦽ (ḃoy), Shan မူၺ် (mǒǐ) or ဝူၺ် (wǒǐ), Tai Nüa ᥛᥨᥭ (moy), Saek โบ๋ย. Compare Middle Chinese 瓢 (MC biᴇu, “gourd ladle”).
กระเจี๊ยว	noun	1	(colloquial) penis.	Changed from เจี๊ยว (jíao), from Teochew 鳥／鸟 (ziao2/ziou2, “bird”).
กระเป๋า	noun	1	bag; pouch; wallet; purse.	Compare Lao ກະເປົາ (ka pao) or ກະເປົ໋າ (ka pao), Khmer កប៉ៅ (kɑɑkɑpaw) or កាប៉ៅ (kaapaw), Middle Chinese 包 (MC pˠau).
กลั่น	verb	1	To distill, extract.	Compare Old Chinese 揀 (OC *kreːnʔ, *ɡ·reːns, “to choose, to pick”). Cognate with Lao ກັ່ນ (kan).
กลึง	verb	1	to lathe.	Compare Min Nan 槓／杠 (kǹg, “to sharpen”).
กล่าว	verb	1	(1) (formal) to express in words: to declare, to mention, to say, to speak, to tell, etc. (2) (archaic) to sing. (3) (archaic) to propose: to make a marriage offer. (4) (archaic) to marry; to wed.	From Middle Chinese 告 (MC kɑuᴴ, kuok̚, “to report”). Cognate with Northern Thai ᨠᩖ᩵ᩣ᩠ᩅ, Lao ກ່າວ (kāo), Lü ᦂᦱᧁᧈ (k̇aaw¹), Shan ၵၢဝ်ႇ (kààò), Ahom ??? (kaw), ??? (kow) or ???? (kow), Zuojiang Zhuang gauq, Zhuang gauq. Compare Phake ကွ် (kaw, “to ask for help from a supernatural power”).
กล้า	noun	1	rice seedling.	From Proto-Southwestern Tai *klaːꟲ (“rice seedling”), from Proto-Tai *klaːꟲ (“rice seedling”), from Old Chinese 稼 (OC *kraːs, “sow crops”). Cognate with Northern Thai ᨠᩖ᩶ᩣ, Lao ກ້າ (kā), Lü ᦂᦱᧉ (k̇aa²), Tai Nüa ᥐᥣᥲ (kàa), Shan ၵႃႈ (kāā), Tày chả.
กวด	verb	1	(1) to press, cram, tighten, twist. (2) to chase, pursue, run after.	Borrowed from Middle Chinese 括 (MC kuɑt̚, “to tie; to seek; to pursue; to enclose; to include”). Cognate with Lao ກວາດ (kuāt).
กวยจั๊บ	noun	1	a soup of rolled-up rice noodle sheets, also usually containing pork intestines, crispy pork bellies, pork blood curd, tofu, boiled eggs.	From Teochew 粿汁 (guê² zab⁴).
กวางตุ้ง	name	1	(1) Guangdong. (2) Cantonese language.	Semi-learned borrowing from Cantonese 廣東／广东 (gwong² dung¹).
กวางตุ้ง	noun	1	(1) Cantonese people. (2) bok choy: the plant Brassica rapa subsp. chinensis of the family Brassicaceae.	Semi-learned borrowing from Cantonese 廣東／广东 (gwong² dung¹).
