*	5251			
Pali	noun	2	(1) (elegant) something that is considered sacred, sanctity; prosperity. (2) (elegant) beauty, grace.	From Pali siri.
ก	char	1	gɔɔ gài (ก ไก่), the first consonant letter of the Thai alphabet	Cognate with Lao ກ (ka) and Khmer ក (kɑɑ).
กกุท	noun	1	(1) (elegant) horn; hump. (2) (elegant) peak; top; summit. (3) (elegant) chief; leader.	From Sanskrit ककुद (kakuda, “head; hump; chief”). Cognate with Lao ກາກຸດ (kā kut); compare Khmer កាគុត (kaakut).
กกุธภัณฑ์	noun	1	royal regalia.	From Pali kakudhabhaṇdha, from kakudha (“ensign or symbol of royalty”) + bhaṇḍa (“article; instrument; utensil”); equivalent to Thai กกุธ + ภัณฑ์ (pan).
กกุสันธะ	name	1	(Buddhism) Kakusandha, one of the ancient Buddhas.	From Pali kakusandha.
กง	noun	1	(1) ring; rim; circle; arc. (2) (Buddhism) wheel of life. (3) (grammar) (แม่~, มาตรา~) a group of words/syllables ending with -ŋ sound.	Compare with Lü ᦷᦂᧂ (k̇ong), Northern Thai ᨠᩫ᩠ᨦ, Lao ກົງ (kong).
กงสี	noun	1	(1) common property; property for common use; property shared amongst a group of persons. (2) (especially one managed by members of the same family) business, enterprise; company, corporation.	From Teochew 公司 (gong1 si1, “company; corporation”).
กงสุล	noun	1	consul.	From French consul.
กฎ	noun	1	(1) (archaic) engravement, inscription; account, note, record, register. (2) (archaic) command, decree, edict, direction, instruction, order, ordinance, prescription, precept; decision, ruling, judgment, verdict, resolution, solution. (3) law; statue; regulation; rule. (4) (administrative law) secondary legislation.	From Old Khmer កត៑ (kat), *កត៑ (*kat), កត (kata, “to engrave, to inscribe, to mark down, to note down, to record, to register; to note, to observe; to decide, to solve, to resolve; etc”); extended as កំម្នត៑ (kaṃmnat), កាំនត (kāṃnata), from which Thai กำหนด (gam-nòt) was derived. Cognate with Modern Khmer កត់ (kɑt); Lao ກົດ (kot). Possibly cognate with Thai กด (gòt).
กฎ	verb	1	(1) (archaic) to engrave, to inscribe; to mark down, to note down; to record, to register. (2) (archaic) to command, to decree, to direct, to instruct, to order, to ordain; to rule, to decide, to judge, to solve, to resolve; to enact, to legislate, to prescribe, to regulate.	From Old Khmer កត៑ (kat), *កត៑ (*kat), កត (kata, “to engrave, to inscribe, to mark down, to note down, to record, to register; to note, to observe; to decide, to solve, to resolve; etc”); extended as កំម្នត៑ (kaṃmnat), កាំនត (kāṃnata), from which Thai กำหนด (gam-nòt) was derived. Cognate with Modern Khmer កត់ (kɑt); Lao ກົດ (kot). Possibly cognate with Thai กด (gòt).
กฎหมาย	noun	1	law; statute.	From กฎ (gòt, “to mark down; to note down; to record; etc”) + หมาย (mǎai, “to mark; to indicate; etc”). Compare Lao ກົດໝາຍ (kot māi) and Northern Thai ᨠᩫ᩠ᨭᩉ᩠ᨾᩣ᩠ᨿ (got māi).
กฎหมาย	verb	1	(1) (archaic) to document; to record; to register; to mark down; to note down; to write down. (2) (archaic) to command; to decree; to direct; to instruct; to order; to ordain; to prescribe; to regulate.	From กฎ (gòt, “to mark down; to note down; to record; etc”) + หมาย (mǎai, “to mark; to indicate; etc”). Compare Lao ກົດໝາຍ (kot māi) and Northern Thai ᨠᩫ᩠ᨭᩉ᩠ᨾᩣ᩠ᨿ (got māi).
กฎหมายมนุษยธรรมระหว่างประเทศ	noun	1	international humanitarian law.	From กฎหมาย (gòt-mǎai, “law”) + มนุษยธรรม (má-nút-sà-yá-tam, “humanity”) + ระหว่างประเทศ (rá-wàang-bprà-têet, “international”), a calque of English international humanitarian law.
